Time,Angle,Inlet Pressure,Inlet Temperature,Mass Flowrate,Outlet Pressure,Outlet Temperature,Power Consume,Pump Speed,Reactive Power Load,Voltage
2021-12-01T00:00:00,-0.00199263975825235,0.20247738734470927,80,41.46358584592125,0.20282261265529078,80,0.018944904774218126,2000,0.003343218489567745,0.37998112021684616
2021-12-01T01:00:00,-0.0020345003797550055,0.20247738734470921,80.00000000000001,41.46358584592126,0.20282261265529072,80.00000000000001,0.018944904774218126,2000,0.003343218489567745,0.3799807235925821
2021-12-01T02:00:00,-0.0020981122593931602,0.20247738734470921,79.99999999999999,41.46358584592126,0.20282261265529072,79.99999999999999,0.018944904774218126,2000,0.003343218489567745,0.37998012087742083
2021-12-01T03:00:00,-0.002165685646649045,0.20247738734470921,80.00000000000001,41.46358584592126,0.20282261265529072,80.00000000000001,0.018944904774218126,2000,0.003343218489567745,0.3799794806269232
2021-12-01T04:00:00,-0.002196661946049551,0.20247738734470921,80.00000000000001,41.46358584592126,0.20282261265529072,80.00000000000001,0.018944904774218126,2000,0.003343218489567745,0.3799791871296774
2021-12-01T05:00:00,-0.0023146550745907777,0.20247738734470921,79.99999999999999,41.46358584592126,0.20282261265529072,79.99999999999999,0.018944904774218126,2000,0.003343218489567745,0.37997806915592197
2021-12-01T06:00:00,-0.0023497106936273293,0.20247738734470921,80.00000000000001,41.46358584592126,0.20282261265529072,80.00000000000001,0.018944904774218126,2000,0.003343218489567745,0.37997773700692994
2021-12-01T07:00:00,-0.002443850887400977,0.20247738734470921,79.99999999999999,41.46358584592126,0.20282261265529072,79.99999999999999,0.018944904774218126,2000,0.003343218489567745,0.37997684503594226
2021-12-01T08:00:00,-0.0025797446240200758,0.20247738734470921,80.00000000000001,41.46358584592126,0.20282261265529072,80.00000000000001,0.018944904774218126,2000,0.003343218489567745,0.37997555745158623
2021-12-01T09:00:00,-0.0024831451338260106,0.20247738734470921,79.99999999999999,41.46358584592126,0.20282261265529072,79.99999999999999,0.018944904774218126,2000,0.003343218489567745,0.37997647272572116
2021-12-01T10:00:00,-0.0021413445783209912,0.20247738734470921,79.99999999999999,41.46358584592126,0.20282261265529072,79.99999999999999,0.018944904774218126,2000,0.003343218489567745,0.37997971125596014
2021-12-01T11:00:00,-0.001993430325836946,0.20247738734470921,80.00000000000001,41.46358584592126,0.20282261265529072,80.00000000000001,0.018944904774218126,2000,0.003343218489567745,0.3799811127263172
2021-12-01T12:00:00,-0.0015146512581100478,0.20247738734470921,80,41.46358584592126,0.20282261265529072,80,0.018944904774218126,2000,0.0033432184895684225,0.37998564908499194
2021-12-01T13:00:00,-0.001084364520367908,0.20247738734470921,79.99999999999999,41.46358584592126,0.20282261265529072,79.99999999999999,0.018944904774220835,2000,0.0033432184895684225,0.37998972596359476
2021-12-01T14:00:00,-0.000984772942039528,0.20247738734470921,79.99999999999999,41.46358584592126,0.20282261265529072,79.99999999999999,0.018944904774220835,2000,0.0033432184895684225,0.3799906695703222
2021-12-01T15:00:00,-0.0009175163630200144,0.20247738734470921,80.00000000000001,41.46358584592126,0.20282261265529072,80.00000000000001,0.018944904774220835,2000,0.0033432184895684225,0.3799913068099043
2021-12-01T16:00:00,-0.0008587159509516515,0.20247738734470921,80.00000000000001,41.46358584592126,0.20282261265529072,80.00000000000001,0.018944904774220835,2000,0.0033432184895684225,0.37999186392895057
2021-12-01T17:00:00,-0.0010535711630375501,0.20247738734470921,79.99999999999999,41.46358584592126,0.20282261265529072,79.99999999999999,0.018944904774220835,2000,0.0033432184895684225,0.37999001772351904
2021-12-01T18:00:00,-0.0014100894567129166,0.20247738734470921,79.99999999999999,41.46358584592126,0.20282261265529072,79.99999999999999,0.018944904774218126,2000,0.0033432184895684225,0.37998663978858926
2021-12-01T19:00:00,-0.001560730682209137,0.20247738734470921,79.99999999999999,41.46358584592126,0.20282261265529072,79.99999999999999,0.018944904774218126,2000,0.0033432184895684225,0.3799852124906278
2021-12-01T20:00:00,-0.0017182482083920444,0.20247738734470921,79.99999999999999,41.46358584592126,0.20282261265529072,79.99999999999999,0.018944904774218126,2000,0.003343218489567745,0.3799837200381699
2021-12-01T21:00:00,-0.0018024457353657346,0.20247738734470921,79.99999999999999,41.46358584592126,0.20282261265529072,79.99999999999999,0.018944904774218126,2000,0.003343218489567745,0.3799829222793764
2021-12-01T22:00:00,-0.0019482852145403578,0.20247738734470921,80,41.46358584592126,0.20282261265529072,80,0.018944904774218126,2000,0.003343218489567745,0.37998154047049704
2021-12-01T23:00:00,-0.0021335175470283047,0.20247738734470921,80.00000000000001,41.46358584592126,0.20282261265529072,80.00000000000001,0.018944904774218126,2000,0.003343218489567745,0.37997978541623567
