,设计规划,,,,,,,
外部能源,柴油,,,,,,,
,燃料接口,,,,,,,
,,,,,,,,
负荷类型,电负荷,,,,,,,
,电接口,,,,,,,
,,,,,,,,
发电设备,光伏发电,,,,,,,
,电接口,光伏设备输出直流电，一般直接连接逆变器。,,,,,,
,,,,,,,,
,风力发电,,,,,,,
,电接口,风机设备输出直流电，一般直接连接逆变器。,,,,,,
,,,,,,,,
,柴油发电,,,,,,,
,燃料接口,柴油发电消耗燃料。,,,,,,
,电接口,柴油发电设备一般输出交流电。,,,,,,
,,,,,,,,
储能设备,锂电池,,,,,,,
,电接口,用电低谷时蓄电，用电高峰时放电。,,,,,,
,,,,,,,,
配电传输,变压器,,,,,,,
,电输入,连接电网，变压后输出。,,,,,,
,电输出,,,,,,,
,,,,,,,,
,变流器（原整流器）,,,,,,,
,电输入,,,,,,,
,电输出,,,,,,,
,,,,,,,,
,双向变流器（原逆变器）,,,,,,,
,储能端,连接储能设备。,,,,,,
,线路端,连接线路。,,,,,,
,,,,,,,,
,传输线,,,,,,,
,电输入,连接电源与负荷，可能存在功率损耗。,,,,,,
,电输出,,,,,,,
